class,cap-shape,cap-surface,cap-color,bruises,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat
p,f,y,w,t,c,n,p,e,e,s,s,w,w,o,p,k,s,u
e,f,s,w,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g
e,x,f,w,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g
e,x,s,n,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
e,f,s,n,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
e,f,y,y,t,c,b,n,e,r,s,y,w,w,o,p,k,y,g
e,x,f,g,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
e,x,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g
p,f,s,n,t,c,n,k,e,e,s,s,w,w,o,p,n,v,g
e,x,s,w,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g
e,f,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
e,f,f,w,f,w,b,h,t,e,f,f,w,w,o,e,n,a,g
e,f,f,w,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
e,x,y,y,t,c,b,n,e,r,s,y,w,w,o,p,k,s,g
e,x,s,g,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
e,x,f,g,f,w,b,k,t,e,f,f,w,w,o,e,n,a,g
e,f,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,s,g
e,f,s,n,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,x,f,w,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
e,x,y,e,t,c,b,w,t,b,s,s,g,p,o,p,n,v,d
e,x,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
p,x,s,w,t,c,n,p,e,e,s,s,w,w,o,p,n,v,g
e,x,y,n,t,c,b,w,t,b,s,s,p,g,o,p,k,y,d
e,x,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,s,g
p,f,y,w,t,c,n,w,e,e,s,s,w,w,o,p,n,s,g
e,f,f,g,f,w,b,k,t,e,f,s,w,w,o,e,k,a,g
e,x,f,w,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g
e,f,s,n,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
e,f,f,g,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
e,f,s,g,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,f,f,g,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g
e,x,s,g,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g
e,x,s,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g
p,f,s,w,t,c,n,p,e,e,s,s,w,w,o,p,k,v,u
e,x,s,g,f,w,b,k,t,e,f,f,w,w,o,e,n,a,g
p,x,s,w,t,c,n,p,e,e,s,s,w,w,o,p,k,s,g
p,f,s,w,t,c,n,w,e,e,s,s,w,w,o,p,n,s,u
e,f,s,n,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,x,f,g,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,f,s,g,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,x,s,g,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,f,f,g,f,w,b,n,t,e,f,s,w,w,o,e,k,a,g
e,f,f,g,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
e,x,y,g,t,c,b,n,t,b,s,s,g,p,o,p,n,y,d
e,x,f,n,t,c,b,n,t,b,s,s,w,w,o,p,n,v,d
e,f,s,w,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
p,f,y,w,t,c,n,p,e,e,s,s,w,w,o,p,n,v,g
p,f,y,n,t,c,n,k,e,e,s,s,w,w,o,p,n,s,g
e,x,s,w,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
p,f,s,n,t,c,n,k,e,e,s,s,w,w,o,p,n,s,g
e,f,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g
e,f,s,w,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g
p,f,s,n,t,c,n,w,e,e,s,s,w,w,o,p,k,v,g
p,f,y,w,t,c,n,p,e,e,s,s,w,w,o,p,k,v,g
p,f,y,n,t,c,n,w,e,e,s,s,w,w,o,p,k,v,g
p,f,s,w,t,c,n,k,e,e,s,s,w,w,o,p,k,s,g
e,x,s,w,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
e,x,f,n,t,c,b,p,t,b,s,s,g,p,o,p,n,v,d
e,f,s,w,f,w,b,k,t,e,f,f,w,w,o,e,n,a,g
e,f,f,g,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
p,f,y,n,t,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,x,s,w,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
e,x,y,e,t,c,b,n,t,b,s,s,p,w,o,p,n,y,d
e,f,s,g,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
e,x,s,w,f,w,b,n,t,e,f,f,w,w,o,e,n,s,g
p,f,s,w,t,c,n,p,e,e,s,s,w,w,o,p,n,s,g
e,f,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
e,x,f,w,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
p,f,s,w,t,c,n,k,e,e,s,s,w,w,o,p,k,s,u
e,x,f,n,f,w,b,p,t,e,s,f,w,w,o,e,n,a,g
e,f,f,w,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,s,w,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
e,f,s,w,f,w,b,h,t,e,f,s,w,w,o,e,n,s,g
e,b,y,y,t,c,b,w,e,c,s,s,w,w,o,p,k,n,m
e,x,s,g,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,x,f,w,f,w,b,n,t,e,s,f,w,w,o,e,k,s,g
e,x,s,n,f,w,b,n,t,e,f,s,w,w,o,e,n,s,g
e,x,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,a,g
e,f,f,g,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
p,x,y,n,t,c,n,n,e,e,s,s,w,w,o,p,k,s,u
e,f,s,g,f,w,b,h,t,e,f,s,w,w,o,e,k,s,g
e,x,f,n,t,c,b,p,t,b,s,s,w,g,o,p,k,y,d
e,f,s,w,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,x,f,n,t,c,b,n,t,b,s,s,g,g,o,p,k,v,d
e,x,f,g,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
e,x,f,w,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
p,f,s,w,t,c,n,k,e,e,s,s,w,w,o,p,n,v,g
p,f,s,w,t,c,n,p,e,e,s,s,w,w,o,p,k,v,g
e,x,s,g,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
e,x,f,n,t,c,b,u,t,b,s,s,g,p,o,p,n,v,d
e,x,s,g,f,w,b,k,t,e,s,f,w,w,o,e,k,s,g
e,x,y,y,t,c,b,w,e,r,s,y,w,w,o,p,k,s,p
e,f,s,w,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,x,s,w,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,x,f,g,f,w,b,k,t,e,f,s,w,w,o,e,k,a,g
e,f,s,w,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g
e,x,f,n,t,c,b,n,t,b,s,s,w,w,o,p,n,y,d
e,f,s,g,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
e,f,s,g,f,w,b,h,t,e,s,s,w,w,o,e,n,s,g
e,f,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,s,g
e,f,s,w,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,f,s,w,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,f,s,g,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g
e,f,f,w,f,w,b,n,t,e,f,f,w,w,o,e,n,s,g
e,f,s,n,f,w,b,p,t,e,s,f,w,w,o,e,n,a,g
p,f,s,w,t,c,n,k,e,e,s,s,w,w,o,p,n,s,g
e,x,f,g,f,w,b,n,t,e,f,s,w,w,o,e,n,a,g
e,b,y,y,t,c,b,k,e,c,s,s,w,w,o,p,k,n,g
e,f,f,n,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
e,f,s,g,f,w,b,k,t,e,s,s,w,w,o,e,n,s,g
e,x,f,n,t,c,b,n,t,b,s,s,w,g,o,p,k,y,d
e,b,s,y,t,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,x,s,w,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
e,f,f,n,t,c,b,n,t,b,s,s,w,p,o,p,n,y,d
p,x,s,w,t,c,n,n,e,e,s,s,w,w,o,p,n,s,g
e,f,f,w,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
p,f,y,w,t,c,n,k,e,e,s,s,w,w,o,p,n,s,u
e,x,s,n,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
e,f,s,n,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,b,s,y,t,c,b,g,e,c,s,s,w,w,o,p,k,n,g
e,f,s,g,f,w,b,k,t,e,f,f,w,w,o,e,n,a,g
e,x,s,g,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
e,f,f,g,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g
e,x,f,g,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
e,f,s,w,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g
p,f,s,n,t,c,n,k,e,e,s,s,w,w,o,p,k,v,g
e,f,f,g,f,w,b,p,t,e,s,f,w,w,o,e,n,a,g
e,f,s,w,f,w,b,h,t,e,s,s,w,w,o,e,k,a,g
e,x,f,n,t,c,b,n,t,b,s,s,p,g,o,p,k,y,d
e,x,s,n,f,w,b,p,t,e,s,f,w,w,o,e,n,a,g
e,x,f,e,t,c,b,u,t,b,s,s,w,p,o,p,n,y,d
e,x,y,y,t,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,f,f,w,f,w,b,k,t,e,f,s,w,w,o,e,k,s,g
e,x,s,w,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,f,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g
p,f,s,w,t,c,n,w,e,e,s,s,w,w,o,p,k,s,u
e,f,f,g,t,c,b,n,t,b,s,s,w,g,o,p,n,y,d
e,f,s,w,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,f,f,w,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
p,f,y,n,t,c,n,k,e,e,s,s,w,w,o,p,n,v,g
e,x,s,w,f,w,b,p,t,e,f,f,w,w,o,e,k,s,g
e,x,f,n,t,c,b,p,t,b,s,s,g,w,o,p,n,y,d
e,x,y,g,t,c,b,u,t,b,s,s,w,p,o,p,n,v,d
e,x,y,g,t,c,b,p,t,b,s,s,w,g,o,p,n,v,d
e,f,s,n,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
e,f,s,w,f,w,b,h,t,e,f,f,w,w,o,e,n,s,g
e,f,s,n,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
e,x,s,n,f,w,b,p,t,e,f,f,w,w,o,e,k,a,g
e,f,f,w,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
e,x,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,s,g
e,f,f,w,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
e,f,f,n,f,w,b,n,t,e,f,s,w,w,o,e,n,a,g
e,f,s,w,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
e,f,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
p,f,y,n,t,c,n,w,e,e,s,s,w,w,o,p,k,v,u
e,f,f,w,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,f,s,w,f,w,b,p,t,e,s,f,w,w,o,e,n,s,g
e,x,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
e,f,f,w,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,x,f,g,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,f,s,n,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,x,f,g,t,c,b,n,t,b,s,s,g,g,o,p,k,v,d
e,f,f,w,f,w,b,n,t,e,f,s,w,w,o,e,n,a,g
e,f,f,n,f,w,b,p,t,e,f,f,w,w,o,e,k,s,g
e,x,s,n,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
e,x,f,w,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g
e,b,s,y,t,c,b,g,e,c,s,s,w,w,o,p,k,s,g
p,x,y,n,t,c,n,p,e,e,s,s,w,w,o,p,k,s,g
p,f,s,n,t,c,n,p,e,e,s,s,w,w,o,p,k,v,g
e,f,f,w,f,w,b,k,t,e,s,f,w,w,o,e,k,s,g
e,f,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
p,f,y,n,t,c,n,k,e,e,s,s,w,w,o,p,k,s,g
e,f,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
p,x,s,w,t,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,f,s,n,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
p,f,y,w,t,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,f,s,n,f,w,b,n,t,e,f,s,w,w,o,e,k,a,g
e,f,s,g,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
e,x,f,g,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
e,f,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,s,g
e,x,f,g,t,c,b,w,t,b,s,s,w,p,o,p,n,v,d
e,x,f,n,t,c,b,p,t,b,s,s,g,p,o,p,k,v,d
e,x,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,x,f,g,t,c,b,w,t,b,s,s,g,w,o,p,k,y,d
e,x,s,w,f,w,b,h,t,e,s,s,w,w,o,e,n,s,g
e,f,s,w,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
e,x,s,w,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
e,f,f,g,f,w,b,k,t,e,s,f,w,w,o,e,k,s,g
e,x,f,n,t,c,b,p,t,b,s,s,w,p,o,p,n,y,d
e,x,s,w,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,x,s,n,f,w,b,h,t,e,f,s,w,w,o,e,k,s,g
e,f,s,g,f,w,b,p,t,e,s,f,w,w,o,e,n,s,g
p,f,y,w,t,c,n,k,e,e,s,s,w,w,o,p,n,s,g
e,f,s,n,f,w,b,k,t,e,s,f,w,w,o,e,k,s,g
e,f,y,y,t,c,b,p,e,r,s,y,w,w,o,p,n,y,g
e,x,f,g,t,c,b,n,t,b,s,s,g,p,o,p,k,y,d
e,f,s,g,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,x,s,g,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g
p,f,y,w,t,c,n,p,e,e,s,s,w,w,o,p,n,s,u
e,x,s,w,f,w,b,h,t,e,f,f,w,w,o,e,k,a,g
e,x,s,w,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
e,f,s,g,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g
e,f,s,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g
e,f,s,n,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,f,s,n,f,w,b,n,t,e,f,f,w,w,o,e,n,a,g
e,x,f,w,f,w,b,n,t,e,s,f,w,w,o,e,n,a,g
e,f,f,w,f,w,b,k,t,e,f,s,w,w,o,e,n,a,g
e,f,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,a,g
e,x,y,w,t,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,x,s,n,f,w,b,n,t,e,f,s,w,w,o,e,k,a,g
e,x,s,g,f,w,b,h,t,e,f,f,w,w,o,e,n,s,g
e,f,s,w,f,w,b,k,t,e,f,s,w,w,o,e,k,a,g
p,x,s,w,t,c,n,w,e,e,s,s,w,w,o,p,n,s,u
e,x,s,w,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,x,f,n,t,c,b,n,t,b,s,s,g,p,o,p,n,v,d
e,f,f,g,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,s,g,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,f,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,f,s,n,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g
e,x,s,g,f,w,b,h,t,e,f,f,w,w,o,e,k,s,g
e,f,y,n,t,c,b,n,e,r,s,y,w,w,o,p,k,s,p
p,f,y,n,t,c,n,p,e,e,s,s,w,w,o,p,k,v,u
e,x,s,n,f,w,b,p,t,e,s,f,w,w,o,e,n,s,g
e,x,f,n,t,c,b,p,t,b,s,s,w,w,o,p,k,v,d
p,f,y,w,t,c,n,w,e,e,s,s,w,w,o,p,k,s,g
p,x,s,w,t,c,n,p,e,e,s,s,w,w,o,p,k,s,u
p,f,s,n,t,c,n,p,e,e,s,s,w,w,o,p,n,s,u
e,x,f,n,t,c,b,u,t,b,s,s,g,p,o,p,k,y,d
e,b,y,w,t,c,b,g,e,c,s,s,w,w,o,p,k,n,m
p,f,y,w,t,c,n,k,e,e,s,s,w,w,o,p,k,s,g
e,f,f,w,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
e,x,s,w,f,w,b,n,t,e,f,s,w,w,o,e,n,s,g
e,x,f,n,t,c,b,n,t,b,s,s,g,p,o,p,k,y,d
e,x,s,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g
e,f,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
e,f,f,n,f,w,b,n,t,e,f,f,w,w,o,e,n,s,g
p,f,y,n,t,c,n,p,e,e,s,s,w,w,o,p,n,s,u
p,f,y,w,t,c,n,w,e,e,s,s,w,w,o,p,k,v,g
e,x,s,n,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,f,f,g,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,x,f,n,t,c,b,n,t,b,s,s,p,g,o,p,k,v,d
e,f,s,g,f,w,b,k,t,e,f,s,w,w,o,e,n,s,g
e,f,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g
p,f,s,n,t,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,x,f,n,f,w,b,n,t,e,f,f,w,w,o,e,n,a,g
p,f,y,n,t,c,n,p,e,e,s,s,w,w,o,p,n,v,g
e,x,s,g,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
e,f,f,w,f,w,b,p,t,e,f,f,w,w,o,e,k,s,g
e,x,s,w,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,x,f,n,t,c,b,n,t,b,s,s,p,p,o,p,n,y,d
e,x,s,n,f,w,b,h,t,e,f,s,w,w,o,e,n,s,g
p,f,s,w,t,c,n,k,e,e,s,s,w,w,o,p,n,s,u
e,x,f,n,t,c,b,p,t,b,s,s,w,g,o,p,n,v,d
e,x,s,w,f,w,b,n,t,e,f,f,w,w,o,e,k,s,g
e,f,s,w,f,w,b,k,t,e,f,s,w,w,o,e,k,s,g
e,x,s,w,t,w,n,n,t,b,s,s,w,w,o,p,u,v,d
e,x,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,x,y,g,t,c,b,p,t,b,s,s,g,w,o,p,k,v,d
e,x,f,n,t,c,b,n,t,b,s,s,g,g,o,p,n,y,d
e,x,s,y,t,w,n,p,t,b,s,s,w,w,o,p,u,v,d
e,f,f,g,f,w,b,h,t,e,s,s,w,w,o,e,k,a,g
e,x,s,n,f,w,b,n,t,e,s,s,w,w,o,e,k,s,g
e,x,y,e,t,c,b,u,t,b,s,s,g,w,o,p,n,y,d
e,f,s,g,f,w,b,p,t,e,f,f,w,w,o,e,k,a,g
p,f,s,w,t,c,n,n,e,e,s,s,w,w,o,p,k,v,u
e,f,f,w,f,w,b,p,t,e,s,f,w,w,o,e,n,s,g
e,x,f,g,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,f,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,f,s,n,f,w,b,p,t,e,f,f,w,w,o,e,k,a,g
e,x,f,w,f,w,b,k,t,e,f,f,w,w,o,e,n,a,g
p,f,y,w,t,c,n,p,e,e,s,s,w,w,o,p,k,s,g
e,x,f,w,f,w,b,k,t,e,f,s,w,w,o,e,n,s,g
e,f,s,n,f,w,b,k,t,e,f,f,w,w,o,e,n,a,g
e,x,s,n,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
e,x,f,g,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
e,x,s,n,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,f,y,y,t,c,b,n,e,r,s,y,w,w,o,p,k,y,g
p,x,y,n,t,c,n,n,e,e,s,s,w,w,o,p,k,v,u
e,x,f,w,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g
e,f,s,w,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g
e,x,s,n,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g
p,f,y,n,t,c,n,p,e,e,s,s,w,w,o,p,n,s,g
e,f,f,g,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
p,f,s,w,t,c,n,p,e,e,s,s,w,w,o,p,n,s,u
e,f,s,n,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g
e,x,s,g,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
e,x,f,g,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g
e,f,f,n,f,w,b,n,t,e,s,s,w,w,o,e,k,s,g
e,f,s,g,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g
e,x,s,w,f,w,b,p,t,e,s,f,w,w,o,e,n,s,g
e,x,f,n,f,w,b,k,t,e,s,f,w,w,o,e,k,a,g
e,x,f,g,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,f,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,a,g
e,b,y,y,t,c,b,n,e,c,s,s,w,w,o,p,k,n,m
e,f,f,g,f,w,b,k,t,e,s,f,w,w,o,e,n,s,g
e,x,f,g,f,w,b,h,t,e,s,s,w,w,o,e,k,a,g
e,f,f,w,f,w,b,n,t,e,f,f,w,w,o,e,n,a,g
e,x,f,n,t,c,b,p,t,b,s,s,p,p,o,p,n,y,d
p,f,s,n,t,c,n,w,e,e,s,s,w,w,o,p,k,s,u
e,x,f,n,t,c,b,p,t,b,s,s,p,g,o,p,n,y,d
e,x,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,a,g
e,x,f,n,t,c,b,p,t,b,s,s,w,p,o,p,k,y,d
e,x,f,w,f,w,b,n,t,e,f,s,w,w,o,e,n,a,g
e,f,s,g,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
e,f,s,n,f,w,b,h,t,e,s,s,w,w,o,e,k,a,g
e,x,y,y,t,c,b,g,e,c,s,s,w,w,o,p,k,s,m
e,x,f,w,t,w,n,p,t,b,s,s,w,w,o,p,u,v,d
e,f,f,g,f,w,b,n,t,e,f,f,w,w,o,e,n,a,g
e,f,f,n,f,w,b,h,t,e,s,f,w,w,o,e,n,a,g
e,f,f,n,f,w,b,n,t,e,s,f,w,w,o,e,n,s,g
e,b,y,y,t,c,b,g,e,c,s,s,w,w,o,p,k,s,g
e,x,f,n,f,w,b,h,t,e,f,f,w,w,o,e,k,s,g
e,x,y,w,t,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,f,s,w,f,w,b,n,t,e,s,f,w,w,o,e,k,s,g
e,x,s,w,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
e,x,f,n,f,w,b,n,t,e,f,f,w,w,o,e,n,s,g
e,x,s,n,f,w,b,n,t,e,s,f,w,w,o,e,n,a,g
e,x,s,n,f,w,b,n,t,e,f,f,w,w,o,e,n,s,g
e,x,y,n,t,c,b,w,t,b,s,s,w,w,o,p,n,y,d
e,f,s,g,f,w,b,n,t,e,f,f,w,w,o,e,k,s,g
e,x,y,y,t,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,x,s,w,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
p,f,y,w,t,c,n,n,e,e,s,s,w,w,o,p,k,s,u
e,f,s,w,f,w,b,h,t,e,s,s,w,w,o,e,n,s,g
p,f,s,w,t,c,n,n,e,e,s,s,w,w,o,p,n,s,u
e,f,s,g,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
e,f,f,g,f,w,b,k,t,e,f,f,w,w,o,e,n,s,g
p,x,s,w,t,c,n,p,e,e,s,s,w,w,o,p,n,s,g
e,x,s,g,f,w,b,p,t,e,f,f,w,w,o,e,k,a,g
p,x,s,w,t,c,n,p,e,e,s,s,w,w,o,p,n,s,u
e,x,s,g,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,f,s,w,f,w,b,p,t,e,s,s,w,w,o,e,k,s,g
p,f,y,w,t,c,n,w,e,e,s,s,w,w,o,p,n,v,g
e,x,f,w,f,w,b,n,t,e,s,s,w,w,o,e,k,a,g
e,x,s,n,f,w,b,h,t,e,s,s,w,w,o,e,k,a,g
e,x,f,w,f,w,b,p,t,e,f,f,w,w,o,e,n,s,g
e,x,f,w,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,x,y,e,t,c,b,u,t,b,s,s,g,g,o,p,k,y,d
p,f,s,n,t,c,n,k,e,e,s,s,w,w,o,p,k,s,u
e,f,f,g,f,w,b,k,t,e,f,s,w,w,o,e,k,s,g
e,x,y,y,t,c,b,w,e,r,s,y,w,w,o,p,k,y,g
e,x,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,f,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g
e,b,s,w,t,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,f,s,g,f,w,b,k,t,e,s,f,w,w,o,e,k,a,g
e,f,f,w,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g
e,f,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
p,f,s,n,t,c,n,w,e,e,s,s,w,w,o,p,n,s,u
e,x,s,n,f,w,b,h,t,e,s,f,w,w,o,e,n,a,g
e,b,y,y,t,c,b,w,e,c,s,s,w,w,o,p,k,n,g
e,f,s,g,f,w,b,p,t,e,s,f,w,w,o,e,n,a,g
e,f,s,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g
e,x,f,g,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g
e,f,s,g,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,x,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,a,g
e,x,f,n,t,c,b,p,t,b,s,s,p,g,o,p,n,v,d
e,b,y,w,t,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,x,f,g,t,c,b,n,t,b,s,s,g,w,o,p,n,v,d
p,f,y,n,t,c,n,p,e,e,s,s,w,w,o,p,k,s,g
e,x,s,w,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
p,f,s,n,t,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,f,s,n,f,w,b,n,t,e,s,f,w,w,o,e,n,a,g
e,f,f,n,f,w,b,k,t,e,s,f,w,w,o,e,k,a,g
e,x,f,w,f,w,b,k,t,e,s,f,w,w,o,e,k,a,g
